game_id,ww1,ww2,seer,doctor,v1,v2,v3,v4,status,winner,rounds
131,Baseline,Reflection2,ToT,Reflection,ReAct,Baseline2,ReAct2,ToT2,pending,,
132,Baseline,Reflection2,ToT,ReAct,Reflection,Baseline2,ReAct2,ToT2,pending,,
133,Baseline,Reflection2,ToT,Baseline2,Reflection,ReAct,ReAct2,ToT2,pending,,
134,Baseline,Reflection2,ToT,ReAct2,Reflection,ReAct,Baseline2,ToT2,pending,,
135,Baseline,Reflection2,ToT,ToT2,Reflection,ReAct,Baseline2,ReAct2,pending,,
136,Baseline,Reflection2,Baseline2,Reflection,ReAct,ToT,ReAct2,ToT2,pending,,
137,Baseline,Reflection2,Baseline2,ReAct,Reflection,ToT,ReAct2,ToT2,pending,,
138,Baseline,Reflection2,Baseline2,ToT,Reflection,ReAct,ReAct2,ToT2,pending,,
139,Baseline,Reflection2,Baseline2,ReAct2,Reflection,ReAct,ToT,ToT2,pending,,
140,Baseline,Reflection2,Baseline2,ToT2,Reflection,ReAct,ToT,ReAct2,pending,,
141,Baseline,Reflection2,ReAct2,Reflection,ReAct,ToT,Baseline2,ToT2,pending,,
142,Baseline,Reflection2,ReAct2,ReAct,Reflection,ToT,Baseline2,ToT2,pending,,
143,Baseline,Reflection2,ReAct2,ToT,Reflection,ReAct,Baseline2,ToT2,pending,,
144,Baseline,Reflection2,ReAct2,Baseline2,Reflection,ReAct,ToT,ToT2,pending,,
145,Baseline,Reflection2,ReAct2,ToT2,Reflection,ReAct,ToT,Baseline2,pending,,
146,Baseline,Reflection2,ToT2,Reflection,ReAct,ToT,Baseline2,ReAct2,pending,,
147,Baseline,Reflection2,ToT2,ReAct,Reflection,ToT,Baseline2,ReAct2,pending,,
148,Baseline,Reflection2,ToT2,ToT,Reflection,ReAct,Baseline2,ReAct2,pending,,
149,Baseline,Reflection2,ToT2,Baseline2,Reflection,ReAct,ToT,ReAct2,pending,,
150,Baseline,Reflection2,ToT2,ReAct2,Reflection,ReAct,ToT,Baseline2,pending,,
151,Baseline,ReAct2,Reflection,ReAct,ToT,Baseline2,Reflection2,ToT2,pending,,
152,Baseline,ReAct2,Reflection,ToT,ReAct,Baseline2,Reflection2,ToT2,pending,,
